Date,P_I,EU_H,C_H,SO_I,CFNAI,CFNAI_MA3,DIFFUSION
2019:08,"0,18","0,03","0,02","-0,04","0,19","-0,04","0,01"
2019:09,"-0,28","0,01","-0,05","-0,10","-0,42","-0,20","-0,14"
2019:10,"-0,37","-0,08","-0,04","-0,29","-0,78","-0,34","-0,26"
2019:11,"0,22","-0,01","0,02","-0,01","0,22","-0,33","-0,33"
2019:12,"-0,14","-0,07","0,00","-0,14","-0,35","-0,30","-0,37"
2020:01,"-0,19","0,00","0,00","-0,04","-0,23","-0,12","-0,24"
2020:02,"0,05","0,02","-0,02","0,06","0,11","-0,16","-0,21"
2020:03,"-1,75","-1,13","-0,69","-0,86","-4,43","-1,52","-0,32"
2020:04,"-5,71","-8,97","-1,27","-2,26","-18,20","-7,51","-0,53"
2020:05,"1,03","1,89","1,01","0,77","4,70","-5,98","-0,39"
2020:06,"2,48","1,98","0,48","1,37","6,31","-2,40","0,17"
2020:07,"1,25","0,59","0,12","0,60","2,56","4,52","0,77"
2020:08,"0,43","0,75","0,01","0,07","1,26","3,38","0,76"
2020:09,"-0,04","0,37","0,12","0,03","0,48","1,43","0,61"
2020:10,"0,29","0,45","-0,02","0,21","0,94","0,89","0,59"
2020:11,"0,13","0,15","-0,04","0,07","0,30","0,57","0,51"
2020:12,"0,41","0,05","0,05","0,17","0,68","0,64","0,55"
2021:01,"0,27","0,09","0,19","0,32","0,87","0,62","0,50"
2021:02,"-1,33","0,14","-0,19","-0,43","-1,81","-0,09","0,28"
2021:03,"1,09","0,38","0,60","0,23","2,30","0,45","0,35"
2021:04,"-0,03","0,07","0,03","-0,01","0,06","0,18","0,17"
2021:05,"0,34","0,18","-0,09","-0,23","0,20","0,85","0,38"
2021:06,"0,08","0,14","0,05","0,08","0,34","0,20","0,29"
2021:07,"0,23","0,41","-0,12","0,18","0,71","0,42","0,48"
2021:08,"-0,06","0,18","0,04","-0,10","0,07","0,37","0,34"
2021:09,"-0,33","0,22","0,01","0,05","-0,05","0,24","0,19"
2021:10,"0,40","0,34","0,05","0,13","0,93","0,32","0,23"
2021:11,"0,34","0,31","0,02","0,07","0,73","0,54","0,45"
2021:12,"-0,04","0,23","-0,05","0,10","0,24","0,63","0,53"
2022:01,"-0,12","0,04","0,07","0,18","0,16","0,38","0,29"
2022:02,"0,26","0,39","0,00","-0,14","0,51","0,30","0,22"
2022:03,"0,22","0,22","0,07","-0,06","0,45","0,37","0,34"
2022:04,"0,01","0,04","0,09","-0,09","0,06","0,34","0,37"
2022:05,"-0,10","0,01","-0,06","-0,21","-0,36","0,05","0,14"
2022:06,"-0,16","0,05","-0,02","-0,05","-0,18","-0,16","-0,12"
2022:07,"0,01","0,15","-0,04","0,06","0,18","-0,12","-0,08"
2022:08,"0,01","-0,07","0,06","0,17","0,17","0,06","0,14"
2022:09,"0,01","0,09","0,00","-0,06","0,05","0,13","0,26"
2022:10,"-0,06","0,04","0,00","0,03","0,01","0,07","0,21"
2022:11,"-0,25","0,01","-0,10","-0,22","-0,57","-0,17","-0,05"
2022:12,"-0,59","0,00","-0,06","0,15","-0,49","-0,35","-0,17"
2023:01,"0,35","0,10","0,17","0,05","0,66","-0,13","-0,04"
2023:02,"-0,10","-0,08","-0,07","-0,19","-0,44","-0,09","0,00"
2023:03,"-0,19","-0,07","-0,09","-0,16","-0,51","-0,10","-0,12"
2023:04,"0,13","0,05","0,00","-0,13","0,06","-0,30","-0,24"
2023:05,"-0,17","-0,10","0,00","0,07","-0,20","-0,22","-0,26"
2023:06,"-0,34","0,00","-0,02","-0,05","-0,41","-0,18","-0,22"
2023:07,"0,10","-0,09","0,02","0,06","0,09","-0,17","-0,23"
2023:08,"-0,05","-0,01","-0,03","-0,08","-0,18","-0,16","-0,25"
2023:09,"-0,03","-0,03","-0,01","0,01","-0,05","-0,04","-0,14"
2023:10,"-0,33","-0,12","-0,03","-0,11","-0,60","-0,27","-0,33"
2023:11,"0,08","0,01","0,02","0,09","0,19","-0,15","-0,13"
2023:12,"-0,14","-0,06","0,04","0,06","-0,11","-0,17","-0,11"
2024:01,"-0,50","-0,03","-0,09","-0,25","-0,87","-0,26","-0,14"
2024:02,"0,37","-0,02","0,01","0,01","0,37","-0,20","-0,15"
2024:03,"-0,10","-0,04","-0,01","-0,05","-0,19","-0,23","-0,19"
2024:04,"-0,22","-0,05","-0,05","-0,07","-0,39","-0,07","-0,15"
2024:05,"0,11","0,02","0,02","0,01","0,16","-0,14","-0,15"
2024:06,"-0,02","-0,11","-0,03","0,03","-0,13","-0,12","-0,17"
2024:07,"-0,36","-0,07","0,03","0,05","-0,35","-0,10","-0,09"
2024:08,"0,09","-0,05","-0,04","-0,05","-0,05","-0,17","-0,21"
2024:09,"-0,23","-0,03","0,04","0,02","-0,21","-0,20","-0,18"
2024:10,"-0,30","-0,08","-0,01","-0,11","-0,50","-0,25","-0,29"
2024:11,"-0,10","0,04","0,01","0,00","-0,05","-0,25","-0,24"
2024:12,"0,21","0,02","0,04","0,08","0,36","-0,06","-0,03"
2025:01,"-0,17","0,07","-0,14","-0,16","-0,39","-0,03","0,07"
2025:02,"0,31","-0,03","-0,03","0,11","0,36","0,11","0,16"
2025:03,"-0,02","-0,07","0,09","0,16","0,16","0,04","-0,01"
2025:04,"-0,18","-0,02","-0,03","-0,18","-0,41","0,04","-0,08"
2025:05,"-0,06","-0,05","-0,10","0,02","-0,18","-0,14","-0,31"
2025:06,"0,01","-0,08","-0,01","-0,10","-0,18","-0,26","-0,40"
2025:07,"-0,10","-0,06","0,00","-0,02","-0,19","-0,18","-0,31"
